	Japanese	English	Japanese Example	English Sentence	speaking score	listening score
76	ばあい	situation, case	わからない <b>ばあい</b> は わたし に きいて ください	Please ask me if you don't understand.	0	0
77	でんしゃ	train	わたし は <b>でんしゃ</b> で つうがく して います	I go to school by train.	0	0
78	あるく	walk, go on foot	えき まで <b>あるきましょう</b>	Let's walk to the station.	0	0
79	はしる	run	かれ は まいばん さんきろ <b>はしって います</b>	Every night he runs three kilometers.	0	0
80	ちかい	near, soon	えき は ここ から <b>ちかい</b> です	The station is near here.	0	0
81	ちかく	near, close to@vicinity, nearby	えき の <b>ちかく</b> で しょくじ を した@わたし の いえ は えき の <b>ちかく</b> です	I ate near the station.@My house is near the station.	0	0
82	とおい	far, distant	いえ から がっこう まで は <b>とおい</b> です	It's a long way from my house to the school.	0	0
83	ながい	long	かのじょ の かみ は とても <b>ながい</b>	Her hair is very long.	0	0
84	みじかい	short, brief	かれ は あし が <b>みじかい</b>	His legs are short.	0	0
85	ひろい	wide, big	かれ の いえ は とても <b>ひろい</b>	His house is very big.	0	0
86	もらう	receive	かのじょ から ぷれぜんと を <b>もらいました</b>	I got a present from her.	0	0
87	ぜんぶ	all, wholly	それ <b>ぜんぶ</b> ください	I'd like all of those, please.	0	0
88	くに	country	わたし の <b>くに</b> に ついて すこし おはなし しましょう	Let me tell you a bit about my country.	0	0
89	しろい	white, blank	かれ は は が <b>しろい</b>	His teeth are white.	0	0
90	あかい	red	<b>あかい</b> ばら を かいました	I bought a red rose.	0	0
91	へや	room	わたし の <b>へや</b> は にかい に あります	My room is on the second floor.	0	0
92	こめ	rice (grain)	にほんじん は お<b>こめ</b> が だいすき です	Japanese people love rice.	0	0
93	まだ	yet, more	しゅくだい は <b>まだ</b> おわって いません	I haven't finished my homework yet.	0	0
94	ある	exist, possess	わたし の つくえ の うえ に しょるい が たくさん <b>あります</b>	There are a lot of documents on my desk.	0	0
95	ない	to not be	ここ に は なに も <b>ない</b>	There's nothing here.	0	0
96	とても	very	この ほん は <b>とても</b> おもしろい	This book is very interesting.	0	0
97	つくる	make, create	いま あさごはん を <b>つくって います</b>	I'm making breakfast now.	0	0
98	つかう	use	この ぱそこん を <b>つかって</b> ください	Please use this computer.	0	0
99	けす	switch off, turn off	ひるま は でんき を <b>けして</b> ください	Please turn the lights off during the day.	0	0
100	うる	sell	かれ は いえ を <b>うった</b>	He sold the house.	0	0
101	みせ	shop, store	わたし は この <b>みせ</b> に よく きます	I come to this store quite often.	0	0
102	なつ	summer	わたし は <b>なつ</b> が だいすき	I just love summer.	0	0
103	ふゆ	winter	かなだ の <b>ふゆ</b> は とても さむい です	Canada's winters are very cold.	0	0
104	みんな	all, everybody	<b>みんな</b> に おかし を あげましょう	Let's give everyone some sweets.	0	0
105	さむい	cold (temperature of the air)	この へや は <b>さむい</b> です	It's cold in this room.	0	0
106	あたたかい	warm	この こーと は とても <b>あたたかい</b>。	This coat is really warm.	0	0
107	あたらしい	new	かれ の くるま は <b>あたらしい</b>	His car is new.	0	0
108	ふるい	old	わたし は <b>ふるい</b> くるま が すき です	I like old cars.	0	0
109	わるい	bad	たばこ は からだ に <b>わるい</b>	Cigarettes are bad for your health.	0	0
110	おもう	think	わたし も そう <b>おもいます</b>	I think so too.	0	0
111	しち	seven	その ぐるーぷ の めんばー は ぜんぶ で <b>しち</b>にん だ	There are seven members of the group in all.	0	0
112	なな	seven	ばなな が <b>なな</b>ほん あります	There are seven bananas.	0	0
113	わすれる	forget, leave behind	やくそく を <b>わすれない で</b> ください	Please don't forget your promise.	0	0
114	かんがえる	think, consider	よく <b>かんがえて</b> ください	Please think carefully.	0	0
115	きめる	decide, agree upon	きこく する こと に <b>きめました</b>	I've decided to go back to my country.	0	0
116	きまる	be decided	りょこう の にってい が <b>きまりました</b>	I've decided on my travel schedule.	0	0
117	しる	know	だれ も その はなし を <b>しらない</b>	No one knows that story.	0	0
118	いちばん	most	かれ は くらす で <b>いちばん</b> せ が たかい	He's the tallest in class.	0	0
119	なまえ	name	あなた の <b>なまえ</b> を おしえて ください	Please tell me your name.	0	0
120	たべもの	food	にっぽん の <b>たべもの</b> は とても おいしい です	Japanese food is very delicious.	0	0
121	いつ	when	かのじょ は <b>いつ</b> きます か	When is she coming?	0	0
122	のみもの	beverage, drink	なに か <b>のみもの</b> が ほしい な 。	I could really use something to drink.	0	0
123	かるい	light, light weight	この くつ は とても <b>かるい</b>	These shoes are very light.	0	0
124	きもち	feeling, sensation	かれ の <b>きもち</b> が わからない	I don't understand his feelings.	0	0
125	きん	gold, sum of money, Friday	かのじょ は <b>きん</b> の ねっくれす を して います	She's wearing a gold necklace.	0	0
126	いきる	live (one's life)	みんな いっしょうけんめい <b>いきて いる</b>	They're all living their lives the best way that they can.	0	0
127	どちら	which	にく と さかな と <b>どちら</b> が すき です か	Which do you prefer, meat or fish?	0	0
128	せんせい	teacher	わたし は にほんご の <b>せんせい</b> に なりたい です	I want to become a Japanese teacher.	0	0
129	だいがく	university, college	<b>だいがく</b> に いって もっと べんきょう したい です	I want to go to college and study more.	0	0
130	がくせい	student	かれ は まじめ な <b>がくせい</b> です	He's a serious student.	0	0
131	だいがくせい	university student	あね は <b>だいがくせい</b> です	My big sister's a college student.	0	0
132	がっこう	school	<b>がっこう</b> は はちじはん に はじまります	School starts at 8:30.	0	0
133	やる	do@give (to an inferior)	いっしょ に しゅくだい を <b>やろう</b>@いぬ に えさ を <b>やった</b>	Let's do our homework together.@I fed the dog.	0	0
134	こうこうせい	high school student	わたし の おとうと は <b>こうこうせい</b> です	My little brother's a high school student.	0	0
135	おしえる	teach, tell	かれ は すうがく を <b>おしえて います</b>	He teaches mathematics.	0	0
136	べんきょう	study	わたし は にほんご を <b>べんきょう</b> して います	I'm studying Japanese.	0	0
137	つよい	strong	きょう は かぜ が <b>つよい</b>	There's a strong wind today.	0	0
138	なに	what, which	ゆうしょく に は <b>なに</b> を たべたい です か	What would you like for supper?	0	0
139	なん	what, which	しつもん は <b>なん</b> です か	What's the question?	0	0
140	どれ	what, which	この なか で <b>どれ</b> が すき です か	Which of these do you like?	0	0
141	よわい	weak	その こ は からだ が すこし <b>よわい</b>	That child has a somewhat weak constitution.	0	0
142	しつもん	question	<b>しつもん</b> の ある かた は どうぞ	Please feel free to ask any questions.	0	0
143	むずかしい	difficult	この ほん は <b>むずかしい</b> です ね	This book is difficult.	0	0
144	かず	number	ぐらす の <b>かず</b> が たりません	There are not enough glasses.	0	0
145	かつ	win	きょう は やんきーす が <b>かった</b>	The Yankees won today.	0	0
146	まける	lose	わたしたち の ちーむ は その しあい で <b>まけた</b>	Our team lost the game.	0	0
147	ほんとうに	really, truly	あなた が <b>ほんとうに</b> すき です	I really like you.	0	0
148	ドア	door	<b>どあ</b> を あけて ください	Please open the door.	0	0
149	とけい	clock, watch	<b>とけい</b> を みたら ちょうど さんじ だった	I looked at the clock and it was exactly three.	0	0
150	はらう	pay	わたし が <b>はらいましょう</b>	Let me pay for that.	0	0
151	きる	cut@wear, put on	この かみ を はんぶん に <b>きって</b> ください@きょう は すーつ を <b>きて います</b>	Please cut this paper in half.@I'm wearing a suit today.	0	0
152	もう	already, yet@another, again	かれ は <b>もう</b> かえりました 。@こーひー を <b>もう</b> いっぱい ください	He's already gone home.@Please give me another cup of coffee.	0	0
153	すわる	sit, sit down	わたし は まどがわ の せき に <b>すわった</b>	I sat in a window seat.	0	0
154	つぎ	next	<b>つぎ</b> は いつ あいましょう か	When shall we meet again?	0	0
155	しゃべる	chat, talk	かのじょ は よく <b>しゃべる</b> ね	She really likes to chat, doesn't she?	0	0
156	うごく	move	<b>うごかない で</b>	Freeze!	0	0
157	はたらく	work	あね は ぎんこう で <b>はたらいています</b>。	My big sister works at a bank.	0	0
158	き	tree, wood@spirit, temperament	たいふう で <b>き</b> が たおれた@かれ は いがい に <b>き</b> が ちいさい	The tree fell because of the typhoon.@He's unexpectedly timid.	0	0
159	はやい	early@fast	まだ がっこう へ いく に は <b>はやい</b> じかん です@かれ は はしる の が <b>はやい</b>	It's still too early to go to school.@He runs fast.	0	0
160	おそい	slow, late	まえ の くるま は とても <b>おそい</b>	The car in front is very slow.	0	0
161	はじめる	begin, start	てすと を <b>はじめて</b> ください	Please start the test.	0	0
162	はじまる	begin	あたらしい しごと が <b>はじまりました</b>	My new job started.	0	0
163	おわる	finish, end	かいぎ は よじ に <b>おわります</b>	The conference ends at four o'clock.	0	0
164	おわり	end, conclusion	なつやすみ も もう <b>おわり</b> だ	Summer vacation's already over.	0	0
165	テーブル	table	あたらしい <b>てーぶる</b> を かいました	I bought a new table.	0	0
166	きょねん	last year	わたし は <b>きょねん</b> ふらんす へ いった	I went to France last year.	0	0
167	たのしむ	enjoy	きょう は ひとり の じかん を <b>たのしみたい</b>	Today I would like to enjoy some time to myself.	0	0
168	たのしい	fun, enjoyable	かれ は とても <b>たのしい</b> ひと です	He's very fun to be with.	0	0
169	うたう	sing	わたしたち は おおき な こえ で <b>うたいました</b>	We sang loudly.	0	0
170	ほしい	want, desire	ぼく は あたらしい くつ が <b>ほしい</b> です	I want new shoes.	0	0
171	いろ	color	すてき な <b>いろ</b> の せーたー です ね	That sweater is a wonderful color.	0	0
172	ちゃいろ	light brown	かのじょ は <b>ちゃいろ</b> の くつ を はいて います	She's wearing brown shoes.	0	0
173	すぐ	at once, soon	<b>すぐ</b> いきます	I'll go right away.	0	0
174	ゲーム	game	わたしたち は びでお<b>げーむ</b> を した	We played a video game.	0	0
175	かきなおす	rewrite	この しょるい を <b>かきなおして</b> ください	Please rewrite this document.	0	0
176	まがる	turn	そこ を ひだり に <b>まがって</b> ください	Please turn left there.	0	0
177	おなじ	same, identical	かれ の にほんご の れべる は わたし と <b>おなじ</b> くらい だ	His Japanese level is about the same as mine.	0	0
178	ちがう	differ, be wrong	こたえ が <b>ちがいます</b>	That's the wrong answer.	0	0
179	としょかん	library	<b>としょかん</b> で りょうり の ほん を かりた	I borrowed a cookbook from the library.	0	0
180	あそぶ	play	こどもたち が こうえん で <b>あそんで いる</b>	The children are playing in the park.	0	0
181	どうして	why	<b>どうして</b> ないて いる の	Why are you crying?	0	0
182	おとうさん	father	<b>おとうさん</b> は かいしゃいん です	My father's a company employee.	0	0
183	ちち	(speaker's)father	わたし は <b>ちち</b> が だいすき です	I love my father.	0	0
184	おかあさん	mother	<b>おかあさん</b> に よろしく おつたえ ください	Please give my best to your mother.	0	0
185	すく	be empty	れすとらん は <b>すいて いました</b>	The restaurant was empty.	0	0
186	はは	(speaker's)mother	きのう <b>はは</b> と はなし を しました	I talked to my mother yesterday.	0	0
187	おや	parent	<b>おや</b> の あい は ありがたい	We're grateful for our parents' love.	0	0
188	あね	older sister	<b>あね</b> は だいがくせい です	My big sister's a college student.	0	0
189	おねえさん	older sister	きのう あなた の <b>おねえさん</b> に あった よ	I met your older sister yesterday.	0	0
190	いもうと	younger sister	わたし の <b>いもうと</b> は しょうがくせい です	My little sister goes to elementary school.	0	0
191	おなか	stomach	<b>おなか</b> が すきました	I'm hungry.	0	0
192	あに	older brother	<b>あに</b> は すいえい が とくい です	My big brother is good at swimming.	0	0
193	おにいさん	older brother	あなた の <b>おにいさん</b> は なんさい	How old's your big brother?	0	0
194	おとうと	younger brother	<b>おとうと</b> は やきゅう が すき です	My little brother likes baseball.	0	0
195	むすめ	daughter, girl	わたし の <b>むすめ</b> は あめりか に います	My daughter is in the United States.	0	0
196	むすこ	son	うち の <b>むすこ</b> は だいがく いちねんせい です	My son's a college freshman.	0	0
197	わかい	young	かれ は まだ <b>わかい</b> です	He's still young.	0	0
198	かのじょ	she, one's girlfriend	<b>かのじょ</b> は おーえる です	She's an office worker.	0	0
199	かれ	he, one's boyfriend	<b>かれ</b> は わたし の じょうし です	He's my senior.	0	0
200	けっこん	marriage	かのじょ は らいげつ <b>けっこん</b> します	She's getting married next month.	0	0
201	ミーティング	meeting	あさ 9 じ から <b>みーてぃんぐ</b> が はじまった	The meeting started at 9 a.m.	0	0
202	いえ	house, home	ここ が わたし の <b>いえ</b> です	This is my house.	0	0
203	じてんしゃ	bicycle	まいにち えき まで <b>じてんしゃ</b> で いきます	I go to the station by bike every day.	0	0
204	じぶん	self, oneself	しゅくだい は <b>じぶん</b> で やりなさい	Do your homework by yourself.	0	0
205	ごしゅじん	(your) husband	<b>ごしゅじん</b> は おげんき です か	How is your husband?	0	0
206	こたえる	answer, reply	わたし の しつもん に <b>こたえて</b> ください	Please answer my question.	0	0
207	べつ	another, different	<b>べつ</b> の ほん も みせて ください	Please show me another book.	0	0
208	びょうき	illness	そふ が <b>びょうき</b> に なった	My grandfather got sick.	0	0
209	しぬ	die	いぬ が びょうき で <b>しにました</b>。	Our dog got sick and died.	0	0
210	いたい	painful	きょう は あたま が <b>いたい</b> です	I have a headache today.	0	0
211	さけ	alcoholic drink, Japanese rice wine	かのじょ は <b>さけ</b> に つよい	She holds her liquor well.	0	0
212	いっぱい	full	ぷーる は ひと で <b>いっぱい</b> です	The pool is packed.	0	0
213	とぶ	fly	とり が <b>とんで います</b>	A bird is flying.	0	0
214	ひこうき	airplane	むすこ は <b>ひこうき</b> の おもちゃ が すき です	My son likes toy airplanes.	0	0
215	おねがい	favor	<b>おねがい</b> が あります	I have a favor to ask.	0	0
216	つづく	continue, follow	こうじ は さんがつ まで <b>つづきます</b>	Construction will continue until March.	0	0
217	にっき	diary	わたし は まいにち <b>にっき</b> を つけて います	I keep a diary every day.	0	0
218	くび	neck	きりん の <b>くび</b> は ながい	Giraffes' necks are long.	0	0
219	かお	face	かれ は たおる で <b>かお</b> を ふきました	He wiped his face with a towel.	0	0
220	あれ	that over there	<b>あれ</b> は なん です か	What's that?	0	0
221	かんじる	feel, sense	ひざ に いたみ を <b>かんじます</b>	I feel a pain in my knee.	0	0
222	ひらく	open	さんじゅうにぺーじ を <b>ひらいて</b> ください	Please open to page 32.	0	0
223	おちる	fall, sink	さる も き から <b>おちる</b>	Monkeys also fall from trees.	0	0
224	おてあらい	toilet, bathroom	<b>おてあらい</b> は どこ です か	Where's the bathroom?	0	0
225	つめたい	cold (things, touch)	<b>つめたい</b> のみもの を ください	Please give me a cold drink.	0	0
226	きたない	dirty	かれ の へや は とても <b>きたない</b>	His room is very dirty.	0	0
227	ふとい	thick, fat	かのじょ は あし が <b>ふとい</b>	She has fat legs.	0	0
228	くもる	become cloudy	あす は ひるごろ から <b>くもる</b> でしょう	It'll probably get cloudy around noon tomorrow.	0	0
229	きいろい	yellow	かのじょ に <b>きいろい</b> ばら を かいました	I bought her a yellow rose.	0	0
230	のち	after, afterwards	<b>のち</b> に かれ は そうり だいじん に なりました	He would later become Prime Minister.	0	0
231	いっしょに	together, at the same time	<b>いっしょに</b> かえりましょう	Let's go home together.	0	0
232	みどり	green, foliage	この まち に は <b>みどり</b> が たくさん あります	There's a lot of greenery in this town.	0	0
233	りゅうがくせい	student studying abroad	かれ は <b>りゅうがくせい</b> です	He's a foreign student.	0	0
234	もどる	return, turn back	いま かいしゃ に <b>もどります</b>	I'm going back to the office now.	0	0
235	おきる	get up, get out of bed@occur	わたし は まいあさ ろくじ に <b>おきます</b>@きんじょ で とうなん じけん が <b>おきました</b>	I get up at six o'clock every morning.@Some burglaries occurred in the neighborhood.	0	0
236	やさしい	gentle, kind@easy, simple	かれ は とても <b>やさしい</b> ひと です@この もんだい は かなり <b>やさしい</b> です	He's a very kind person.@This problem is pretty easy.	0	0
237	ねる	sleep, go to sleep	もう <b>ねよう</b>	Let's go to bed.	0	0
238	ほそい	thin, slender, narrow	かのじょ は ゆび が <b>ほそい</b> です ね	Her fingers are thin.	0	0
239	のせる	place, put on	さら に けーき を <b>のせました</b>。	I put the cake on the plate.	0	0
240	あまい	sweet	この いちご は <b>あまい</b>	This strawberry is sweet.	0	0
241	こっち	here	<b>こっち</b> に きて ください	Please come here.	0	0
242	おっと	husband	わたし の <b>おっと</b> は さらりーまん です	My husband is a company employee.	0	0
243	つま	wife	きょう は <b>つま</b> の たんじょうび だ	It's my wife's birthday today.	0	0
244	だれ	who, whom	<b>だれ</b> と あって みたい です か	Who would you like to meet one day?	0	0
245	あいする	love, care for	わたし は かぞく を <b>あいして います</b>	I love my family.	0	0
246	わらう	laugh, smile	あかんぼう が <b>わらって います</b>	The baby is laughing.	0	0
247	すっぱい	sour	この ぶどう は <b>すっぱい</b> です	These grapes are sour.	0	0
248	ことば	word, language	この <b>ことば</b> の いみ が わかりません	I don't understand the meaning of this word.	0	0
249	よぶ	call, name	うぇいたー を <b>よびましょう</b>	Let's call the waiter.	0	0
250	むね	chest	<b>むね</b> に すこし いたみ が あります	I have a slight pain in my chest.	0	0
251	こし	hip, lower back	きのう から <b>こし</b> が いたい	I've had a pain in my lower back since yesterday.	0	0
252	せ	height, stature	かのじょ は <b>せ</b> が たかい	She's tall.	0	0
253	かたかな	katakana	おなまえ を <b>かたかな</b> で かいて ください	Please write your name in katakana.	0	0
254	ひらがな	hiragana	わたし は <b>ひらがな</b> を ぜんぶ よめます	I can read all the hiragana.	0	0
255	かなしい	sad	その えいが は とても <b>かなしかった</b>	That movie was very sad.	0	0
256	うつくしい	beautiful	この え は <b>うつくしい</b> です	This picture is beautiful.	0	0
257	じゅぎょう	class, lesson	きょう は にほんご の <b>じゅぎょう</b> が あります	There's going to be a Japanese class today.	0	0
258	あそこ	over there	<b>あそこ</b> に ばすてい が あります	There's a bus stop over there.	0	0
259	てつだう	help, assist	わたし が <b>てつだいましょう</b>	Can I help you?	0	0
260	せまい	narrow, restricted	わたし の へや は <b>せまい</b> です	My room is small.	0	0
261	さわる	touch, feel	え に <b>さわらない で</b> ください	Please don't touch the painting.	0	0
262	きらい	dislike	わたし は たばこ が <b>きらい</b> です	I hate cigarettes.	0	0
263	あびる	take (a shower)	わたし は あさ しゃわー を <b>あびます</b>	I take a shower in the morning.	0	0
264	かみのけ	hair	<b>かみのけ</b> が のびた ね	Your hair's longer, isn't it?	0	0
265	おいしい	tasty	この けーき は <b>おいしい</b> ね	This cake is yummy.	0	0
266	うで	arm	かれ の <b>うで</b> は ふとい	He has big arms.	0	0
267	くるま	car, automobile@car	おとうと が <b>くるま</b> を かった@この みち は <b>くるま</b> が おおい	My younger brother bought a car.@There are many cars on this road.	0	0
268	ぼく	I (young male)	<b>ぼく</b> は がくせい です	I'm a student.	0	0
269	だめ	no good	かれ は <b>だめ</b> な おとこ だ	He's a loser.	0	0
270	だいじょうぶ	alright, OK	<b>だいじょうぶ</b> です か	Are you OK?	0	0
271	きれい	beautiful	かのじょ は とても <b>きれい</b> だ	She's very beautiful.	0	0
272	うれしい	happy, glad	かれ に あえて <b>うれしかった</b>	I was glad to meet him.	0	0
273	ため	sake, purpose	これ は いしゃ の <b>ため</b> の さいと です	This is a site for doctors.	0	0
274	より	more, further	これから <b>より</b> いっそう どりょく します	I'll work that much harder from now.	0	0
275	ほか	other	<b>ほか</b> に ほうほう が ありません	There's no other way.	0	0
276	てら	buddhist temple	あそこ に ふるい お<b>てら</b> が あります	There's an old temple there.	0	0
277	ドル	dollar	この ふく は さんびゃく<b>どる</b> しました	These clothes cost 300 dollars.	0	0
278	システム	system	すべて の <b>しすてむ</b> が ていし した	All systems have stopped.	0	0
279	じゅうぶん	full, plentiful	おかね は まだ <b>じゅうぶん</b> あります	We still have plenty of money.	0	0
280	わける	divide into parts, sort, share	おかし を みんな で <b>わけました</b>	We shared the sweets with everyone.	0	0
281	コンピューター	computer	あたらしい <b>こんぴゅーたー</b> を かった	I bought a new computer.	0	0
282	まず	first	かえったら <b>まず</b> て を あらいましょう 。	When you get home, wash your hands first.	0	0
283	せんげつ	last month	<b>せんげつ</b> ともだち の けっこんしき が あった	My friend's wedding was held last month.	0	0
284	せんしゅう	last week	<b>せんしゅう</b> は うみ に いった	I went to the beach last week.	0	0
285	いままで	until now, so far	<b>いままで</b> どこ に いた の です か	Where were you until now?	0	0
286	らいげつ	next month	<b>らいげつ</b> から だいがくせい に なります	I'll be a college student beginning next month.	0	0
287	とし	year, age@cities, urban community	あたらしい <b>とし</b> が はじまりました@とうきょう は にほんいち おおき な <b>とし</b> です	A new year has started.@Tokyo is the largest city in Japan.	0	0
288	らいしゅう	next week	つづき は <b>らいしゅう</b> やりましょう	Let's continue next week.	0	0
289	ロボット	robot	かれ は <b>ろぼっと</b> の けんきゅう を しています 。	He is doing research on robots.	0	0
290	おこなう	do, carry out	その かいしゃ は らいげつ きゃんぺーん を <b>おこなう</b>	That company is going to run a campaign next month.	0	0
